Username,Id,Tweet
TERRORISTELIMI1,1213605790235316224,"RT @CattHarmony: American people, take notes! Here is the list of political agendas that Nancy Pelosi &amp; other Democrats value more than you…"
frhnzz,1321778012,RT @TheSJTobin: When you’re a goalkeeper... and an only child... in self isolation... and trying to keep up with your training... 😂😂came up…
MrsAutonomous,705415096978178048,RT @tkinder: Too late
normalnnn_,2286306260,RT @D_DeGea: Love it! 💪🏼😍
vipulk85,2861760620,"RT @gyanjarahatke: Friends, Today evening I will be taking  an interview of a doctor who is working in Shanghai (China) from last 7 years.…"
NeylShamaini,148004385,"RT @malaysiakini: Italy's coronavirus deaths slow, offering glimmer of hope https://t.co/7PnrgUhLfn https://t.co/QpABz53NHu"
rowanaelin,483829562,she literally said focus on what really matters (the pandemic) but okay 💀 and I can’t believe this bitch is preachi… https://t.co/tywrh6pNK2
ApadanaFreedom,1137755755292106753,"IMF says Mideast, Central Asia countries asking for coronavirus support https://t.co/PqjQxi6kmd https://t.co/x1geXAcLW3"
Pat_Cluett,215289763,"RT @HaltonWomensPl: In the face of this pandemic, we are doing our best to keep our staff and clients safe, comfortable and healthy, and do…"
VeekthorOpara,807587894173069312,RT @spectatorindex: JUST IN: 78 new coronavirus cases in China
DineshR66166687,941867583434735617,"RT @NBCNews: Latest: As of 11:00 a.m. ET, March 23, there are 35,054 confirmed coronavirus cases in the US, and 447 deaths. https://t.co/q0…"
indiafi18053625,1236677501008482304,RT @shukla_tarun: Can't believe how people are treating our airline crew. This @IndiGo6E crew is nearly broken from being discriminated &amp; t…
NorCal26218,3406786625,RT @Barnes_Law: Pandemic panic used as pretext for every leftist wishlist.
davidcblackmon,52551052,"RT @IngrahamAngle: ""I’ll work with anybody to help the American people and the American worker — I don’t care who it is."" -- Donald Trump,…"
EricJayk,257104774,"#NYC the biggest city! go figure! The govmnt needs to think about medication -not re-elections, trumps unfortunatel… https://t.co/c2Vl7PG5m3"
rachiejoy77,150115444,RT @NikkiHaley: This is beyond embarrassing and an arrogant abuse of a vulnerable situation. #GodHelpUs
InnerSeokie,1206235432054341632,RT @evrythngos: cant believe we r in an actual worldwide pandemic n celebrities think we care abt their petty drama 😐
MiaSmith998,1129188484076441600,"RT @nytimes: As bigots blame them for the coronavirus and President Trump labels it the ""Chinese virus,"" many Chinese-Americans say they ar…"
ckthis1out,866067224003571713,RT @PressSec: President @realDonaldTrump just signed an EO to prevent hoarding &amp; price gouging of supplies needed in our war against the #C…
AdamMSnow,2358799285,We were to late 2 months ago now it’s just  a matter of how bad will it get #COVIDActNow #coronavirus #comunismkills
pam1715,2161730208,"RT @peterjhasson: Nearly 3k retweets on this and it leaves out the fact that the guy didn't take Plaquenil, he consumed fish tank cleaner"
CHARMCITY187,155452703,"RT @IngrahamAngle: ""I’ll work with anybody to help the American people and the American worker — I don’t care who it is."" -- Donald Trump,…"
ketaminh,410572471,This is similar to hydroxchloroquine prophylaxis study recruiting by duke university in USA I believe
StainerJulie,1207895616384200704,RT @pjwilb: I couldn’t agree more. 🤢🤮 https://t.co/KX0wnav5te
ivyishh,1231049624451997697,Marriage proposals during a pandemic seem so crazy and flippant to me
jmlujambio,268624949,"RT @voxdotcom: We’re living in anxious, stressful times. Here’s how to manage your mental health in a pandemic. https://t.co/dhsR83VNUt"
KArungi_Kaka,77709503,RT @OECDtax: Tackling the #coronavirus: view our suggested #taxpolicy &amp; #taxadministration measures governments can take to help taxpayers…
annmill1966,1497735068,"RT @damian_from: Six weeks after #coronavirus reached British shores and four months after the first case in Asia, @BorisJohnson finally ta…"
waspeey,1007122759728500738,RT @sofiarudyy: day 6 of quarantine: my dad gave a talk to the cats about covid-19 😭😭😭😭😭😭😭😭 https://t.co/mLdFXzcE2P
jordan__francis,853626841,"RT @morninggloria: Ok so help me out here: if it’s called “looting” when poor people steal groceries during a disaster, what’s it called wh…"
RogerBlumberg,749588473619714048,RT @kylegriffin1: Trump's private business has shut down six of its top seven revenue-producing clubs and hotels because of coronavirus res…
DanielKTabeling,989627934343229441,RT @RealCandaceO: Harvey Weinstein being diagnosed with #coronavirus is not as shocking  as the fact that he was given early access to a te…
staffordrdhall,69200472,"RT @AlboMP: The coronavirus supplement won’t begin until 27 April.

The first household payment won’t happen until April and the second unt…"
clarebleu,378575084,RT @spectatorindex: JUST IN: 78 new coronavirus cases in China
Myk_19,197352062,"I saw a clip of Cuban Doctors arriving in Italy to assist and thought wait, didn't Makandiwa mention something like… https://t.co/QsoDvuXkRJ"
Dr_Whomever,1526203267,RT @StopTweetingMia: How fucked up would it be to get a vibrator stuck up your butt when the hospitals are completely overfilled with COVID…
smprofit,18211062,RT @BreneBrown: Please listen to this podcast. My friend @tferriss has been weeks ahead of most of us in terms of understanding what we nee…
staran1981,4688143476,RT @campadrenews: A South Pasadena pub opened on St. Patrick’s Day last week even though the city told all bars to shut down. The owner sai…
kytyn_,27828018,"RT @ParkerMolloy: Let's just put this out there:

The sooner people can stay tf inside for a couple weeks, the sooner the pandemic ends. Al…"
zxc098xxx,164833055,RT @StuartJHooper: Correct. I think most people in society don't understand this! There is a complete lack of education about what society…
sophievodka,16226435,"RT @EvanMcMullin: In the days ahead, Trump will ask us to sacrifice the lives of seniors, the unwell, and other Americans vulnerable to COV…"
MalibuKy,1220088394266693632,RT @thisisinsider: 3 coronavirus patients share stories from testing and quarantine https://t.co/5hILD6yK8F
mac_henson,2951851845,"RT @LilNasX: so sad, so many people are dying without any family by their side. we have to take this more seriously."
sharonbodun,233839259,"RT @DrOlufunmilayo: BREAKING NEWS: The president of Cameroon’s parliament tested positive for Coronavirus.

Against medical instructions, h…"
jdrcsm,178736792,RT @balbirpunj: Shaheen Bagh was no protest against any law . It was a part of Jehad against kafirs . Forget optics like Tricolour. The Jeh…
eunicerea2,1688828635,"RT @DonaldJTrumpJr: Watch @TuckerCarlson absolutely shred Nancy Pelosi's coronavirus response bill.

""House Democrats have crammed it with…"
AaronXu58315136,1230316400016646145,RT @BBCWorld: Coronavirus: US-China battle behind the scenes https://t.co/Pu0cJ9bLxD
Reime3Retired,1156891626201071617,"RT @asheborn57: WOW~
Mike Bloomberg lays off staffers after telling them they've been exposed to coronavirus; health insurance runs out Mar…"
PapaDrac10,1198054852196061184,RT @PressSec: President @realDonaldTrump just signed an EO to prevent hoarding &amp; price gouging of supplies needed in our war against the #C…
SunnyInsan90,743836221219102720,"RT @SunnyInsan1647: #StayHomeStaySafe
Protect yourself from Coronavirus like diseases by: Eating vegetarian diet. https://t.co/flHxrOMLar"
UnderBill,18592048,"RT @allinwithchris: .@BernieSanders on the coronavirus response:

“Our job is to act in an unprecedented way, both in terms of healthcare a…"
NidaKhanNY,75944553,RT @ScottGottliebMD: THREAD: There’s a strong and understandable desire to return to better times and a functioning economy. But it should…
Emmanue05152476,1228476421145755650,"RT @renoomokri: The #CoronaVirus Outbreak has caused @RealDonaldTrump to be more visible. He briefs America each day, and has more meetings…"
SuzanneFoubert,297732527,Thank you.  It probably won't do any good but the gesture would be nice to see.  @realDonaldTrump #coronavirus https://t.co/h78vqd5jQh
woods353,965459911026118656,RT @MSNBC: Ben Smith examines Fox News' changing coverage of the coronavirus pandemic: “These hosts have a lot of power because they don’t…
DennisPotvinDem,953682497069617152,RT @latimesopinion: Opinion: The coronavirus has made it abundantly clear — the world needs Elizabeth Warren to be vice president https://t…
L_M_Fisher,3847810815,"RT @FluTrackers: South Korea reports 76 new #coronavirus cases, total 9,037, deaths = 120 https://t.co/AtePCSMb04 h/t Shiloh"
Ebonylifestyles,40851547,This is sad &amp; unfortunate
sohailhasan15,2482699434,@ArvindKejriwal sir kindly inform me that there is any rule for small scale of diagnostic centre in the covid-19 situation
fvd_leadership,1238876858164350978,"RT @OHdeptofhealth: Don't do this, do that! https://t.co/vg4tN6uInk #InThisTogetherOhio #FlattenTheCurve #SlowTheSpread https://t.co/ZWP16l…"
janewishon,27046093,"RT @ChristyforCA25: Numbers don’t lie. The curve is not yet bending. Each number is a person; a grandparent, mother, father, wife, husband,…"
babyloreleiii,947121402246782977,RT @RY_CLEF: Prayers for all the pregnant women and new born babies during this Pandemic attack.
CthuluofMordor,1097675011442331649,RT @waub: Book launches and other literary events are cancelled because of the pandemic. That's a big financial and emotional hit for autho…
epidemicmedias,829684158754648064,"RT @TheKrain: @DLeonhardt @JoyAnnReid With his lies and tactics to delay the steps needed to fight the pandemic, Donald Trump has become th…"
JobMine,321534023,Trump's push to shorten the coronavirus shutdown proves the captain is flying blind | David Smith https://t.co/ZCiWhvx9kN
BigRiverSalmon,1061057336087724032,"RT @Education4Libs: Get this.

Pelosi rejected the Covid-19 relief bill in favor of one that includes:

-No voter ID to vote
-Anonymous bal…"
TristanAx0,707962758,RT @HeidiNBC: The couple did not have coronavirus symptoms but took the chloroquine phosphate as a preventative measure. They feared contra…
MouadofMoney,265655053,RT @realcaptainmorg: Wonder who gave them the idea that that could work.
omgthatsher,232963020,RT @FilmFatale_NYC: She was only 36 years old.
joelgombera,557015910,"RT @CBZHoldings: Today we choose knowledge, there is no known cure for the virus lets us follow preventative measures. 
#StrengtheningPartn…"
SharonW301,855052044536827906,"RT @Trey_VonDinkis: .
🌐 GLOBALISM WATCH

-  - W.H.O ALSO COVERED UP CHOLERA OUTBREAKS in AFRICA

Is there ANYTHING the W.H.O. has Done Resp…"
h_chhakchhuak8,762229408631443456,"RT @ndtv: #JustIn | First confirmed case of #coronavirus reported in Manipur, woman with travel history to UK tests positive.

#Coronavirus…"
Sharkmeister77,423522416,"RT @tedlieu: This is what @realDonaldTrump issued last week: “guidelines” to slow #coronavirus. https://t.co/S6WgvPl4RG

Trump has no manda…"
Patsy07973167,885850028740366336,"RT @LaylaAlisha11: DemoRATS BLOCK #CoronaVirus Relief Package: 
Senator Tom Cotton said it best: “Pelosi &amp; Schumer are willing to risk YOUR…"
JenForLD15,1080155014671319042,"RT @Jack4NJ: COVID-19 has decimated Main Street. What is needed is a bold Main Street rescue plan that will save our economy, our middle cl…"
MHowell55189,803712923440795648,RT @gabrielsherman: @JoyAnnReid He basically said he’s reopening the economy in a week and the flu and car crashes are worse than coronavir…
kelvinblunt,19437426,"RT @PhilipRucker: Asked why Dr. Fauci isn't at today's briefing, Trump said, ""He's not here because we weren't discussing what he's best at…"
c_herylll,885852351134785536,"RT @LisaSSmiley: No, it's not racist to call the coronavirus the ""Chinese Virus"" - and I'm Chinese. In fact, as the CCP continues to deflec…"
ImHereForTrump,720721931423649792,"RT @DonaldJTrumpJr: Watch @TuckerCarlson absolutely shred Nancy Pelosi's coronavirus response bill.

""House Democrats have crammed it with…"
HargreavesOguta,2993933620,"RT @amerix: Hospitals are now the primary sources of #COVIDー19

You are advised to stay at home.

If you have symptoms, isolate yourself. C…"
MonetPossible,480149166,"Oh what? Let me just sit my phone down right here. Too much for this day...
So I shall pickup my phone tomorrow, an… https://t.co/gudkjB2MAZ"
Kraven245,176842858,"RT @LindaWesson: WAIT A MINUTE!!!!!!!!!  Are these the same guys that are ""pro-life"" and scare-monger about DEATH PANELS ??????
Now they wa…"
Agoromchelsea,716258373,"RT @JaneRuth_Aceng: Eight new cases of COVID-19 confirmed in Uganda bringing the total number to 9. 
The 8 cases are Ugandan nationals who…"
pranabsamanta,393917334,To frontload tough measures before formal onset of Covid Stage 3 informs India's pre-emptive approach to slow the p… https://t.co/YLPmhFawJd
luismirandapaz,19516699,"RT @JamesMartinSJ: Seven Acts of Love in a time of #coronavirus 
1) Call someone who is lonely
2) Check on someone who is old or sick 
3) K…"
_shubh3_,296622793,RT @DrSaurav5: Love and respect from other side of border 🙏
ritamar40690832,1007436905401679873,"RT @scottbraddock: Updating the state of play in Texas:
@GregAbbott_TX: Indecisive 
@DanPatrick: Seniors should be able to sacrifice themse…"
Abridge_News,880521342612885505,"RT @NateSilver538: The most important COVID-19 metric right now is hospitalizations. Why? 

1) Not affected as much by how many tests are c…"
cheerfulhobo,174926585,RT @jeanho: Culturally speaking does this pandemic mean we're looking out at twenty more years of literature by Asian Americans trying to c…
chiewweng,218475478,"Whiskey lovers during Pandemic....CHEERS MATES! 🥂🍻🇲🇾

#No2Corvid19 #StayIndoor #StayAtHome @ SBS Shum's Bike Studio https://t.co/mnpMCsvR5p"
skylervantress,1241967378172264450,THESE MFS ARE REALLY TRYING TO KILL US ARENT THEY???? WHY WOULD YOU OVERLOOK THE EXAM THAT'S ONE OF THE THINGS THAT… https://t.co/DsTgNZcBMw
konluve,771855531182919681,RT @RY_CLEF: Prayers for all the pregnant women and new born babies during this Pandemic attack.
shady_simpleton,342433017,RT @nfergus: There is a word for what Dan Patrick is recommending: https://t.co/PzzquDHdkv It is senicide: https://t.co/rc1cQfqMaQ
miller_gwen,340567206,"RT @va_shiva: Dear Mr. President, @realDonaldTrump 
Herein is my solution to restore the immune &amp; economic health America. The current “one…"
cassandra11235,2536082624,RT @bodega_gyro_ao: Capitalist ideology makes it easier to process deaths than the loss of productivity during a pandemic.
agarwalm,32288582,#Israel builds survey-reading #AI that predicts #coronavirus outbreaks https://t.co/oAYWOlYK8K
bobco729,358510405,"RT @RealEricCarmen: And here is what Schumer &amp; Pelosi are now demanding. 
Outrageous and despicable."
luilewis1,2225582822,RT @TheSJTobin: When you’re a goalkeeper... and an only child... in self isolation... and trying to keep up with your training... 😂😂came up…
lmartin2975,820117722138808322,"RT @Anonagain3: While this 2 word wonder  could not shut up,  the Coronavirus was spreading. 
We, the American people,  Demand she be held…"
kaci1951,49251919,"RT @phillyeaglesfa1: Never let a crisis go to waste 

Dem Rep. Clyburn told colleagues the coronavirus stimulus bill is ‘a tremendous oppor…"
iWideOpen,796881089704902656,RT @JamesHasson20: Any honest journalist should be asking Democrats why all of the provisions highlighted in this thread justify holding up…
hamidjalil48,760114532543041536,RT @AJEnglish: ⚡️#Coronavirus latest updates - Monday 23 March https://t.co/zD25HqHWVV
MarioScipioni,64489556,RT @nyjets: The New York Jets and the Johnson Family have made a $1 million joint donation to local efforts helping combat the COVID-19 pan…
EricaJ95938316,1122988193328984064,So now they telling people that COVID-19 is no more harmful than the common flu. Its not gonna be that easy to take… https://t.co/sOoPnnXFVU
kolmishranirmal,1132972299517276160,RT @ANI: Total number of positive Coronavirus cases in Maharashtra rises to 101 including 3 new cases in Pune and 1 in Satara: Health Depar…
AguluNwoke,1217293817210200064,COVID-19: I’ve tested positive for Coronavirus – Abuja-based FIRS official discloses https://t.co/pojS3R376p
TheFlyingDweeb,1239457963,RT @FourScore64: don't worry guys I got the patch ready https://t.co/5i54qf64Ly
carmenw74,1327028270,RT @realDonaldTrump: A great early result from a drug that will start tomorrow in New York and other places! #COVIDー19 https://t.co/4F4Qk4W…
ErwanGenevisse,753760661423923200,@KatrinaPierson @realDonaldTrump The entire world witnesses Trump's response and it's all online for us to see. How… https://t.co/FTs2yw0pOK
MadameND,65951307,RT @farandwee: You forgot that he has appointed himself as a doctor and is prescribing “cures” to the entire country. Thought a Dr had to a…
mdsmelser,25511878,"RT @RealJamesWoods: I used to think #DemocratsHateAmerica was merely a derisive hashtag, but as we all watch Americans die while #Schumer a…"
BryannaGrzyb,73701102,RT @TaylorComedy: Gosh this Coronavirus lockdown is really making it difficult for people to make a living... Especially home burglars!
Lutfyssi,4206229403,RT @notnorgaard: you know our government is fucked up when PKS is making sense
Neily_Ash,328540801,To my dad lmao
MrsK9II,78770089,"RT @tedcruz: This is sick &amp; twisted. Rand has contracted coronavirus; in 2017, in a violent criminal attack, he suffered 6 broken ribs, pne…"
nbaoutsider,43740772,"RT @daniamluc: For those of you who don’t know, Cuba’s largest export isn’t tabacco or sugar, it’s doctors. Life expectancy in Cuba is grea…"
ballout_365,1416728132,"RT @techinsider: What coronavirus symptoms look like, day by day https://t.co/k4IVK4QX2m"
DrHLShearer,934305029531492352,"RT @vanOnselenP: My piece today: parliament sat during World Wars, the Great Depression and the Spanish Influenza....why not now? https://t…"
hkb73,28912098,"RT @Ali_Gharib: “Without widespread testing, there’s no telling how many of us are going to silently pass Covid around,” the nurse said. “I…"
nuramirashahran,2831587153,RT @alyadayanaaa: so you’re saying 🥺🥺🥺 i’m not 🥺🥺🥺🥺 going to see 👉🏻👈🏻 my man 🥺 for another 2 months 🥺🥺🥺👉🏻👈🏻🥺🥺🥺🥺🥺🥺
SantucciSays,1184944253052637184,Does this seem like they care about people or about money? #Agenda #Democrats #coronavirus #covid19 #pandemic… https://t.co/ggqFFwVjB7
denise26105,303740643,"RT @KimStrassel: Actually, I have not seen anyone even hint at that. Quite the opposite, and highly irresponsible to suggest as much. Pure…"
bookish_Jaime,1038963373470375937,"TW: anti-abortion, Texas

Wtf wtf wtf wtf. People are gonna die if they can't go elsewhere to get their ABSOLUTELY… https://t.co/YFF3Tg2B3o"
MaryJen00731950,820741377197834242,"RT @JackBrewerBSI: I just got a report from a friend with symptoms from Coronavirus, they gave him 10 pills of Zithromax and Chloroquine..…"
MedinaPDelacruz,817916857701179393,RT @Qamerican1: Bossman your doing a great stand up job 👍 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 https://t.co/hObJvOlxU9
_calamary,905308969056460800,"RT @techinsider: What coronavirus symptoms look like, day by day https://t.co/k4IVK4QX2m"
nimastay,834203367320612864,"RT @techinsider: What coronavirus symptoms look like, day by day https://t.co/k4IVK4QX2m"
emily_ivette3,2959970312,"RT @aminn_7: Oh you're going through a world pandemic? No problem here are 3 exams, 2 projects, and a lab report all due this week plus you…"
sixinheels,47863230,RT @JuliaDavisNews: Trump Won’t Order Vital Coronavirus Supplies Because Corporate CEOs Asked Him Not To. They’re worried it could be bad f…
falcon_amatista,872508198862725120,"@maddow Trump says coronavirus restrictions will be lifted ""soon,"" dismissing health experts - Axios"
lindseyctulk,1037903905953402880,"RT @HarshaWalia: ""Crowded women’s shelters across Greater Vancouver are struggling to prevent the spread of COVID-19 as they brace for an e…"
susie_mouse,260629260,@realDonaldTrump is a dangerous imbecile.
r_pomegranate_,1426667114,RT @mynameisfrex: maybe if i develop feelings for covid-19 it will leave
jazzyfizzle____,97759353,"RT @Metrapolitic: Before the coronavirus I spent $120 bi weekly on gas. Now I spend 0, because where the hell do I think I’m going?"
dennisrd587,73289182,RT @NikkiHaley: This is beyond embarrassing and an arrogant abuse of a vulnerable situation. #GodHelpUs https://t.co/5KlHglusml
Mommymahan0305,935751089948946432,"RT @PhilipRucker: Asked why Dr. Fauci isn't at today's briefing, Trump said, ""He's not here because we weren't discussing what he's best at…"
Abhinary,73227909,"RT @maddow: Thirty-six.

https://t.co/dvIau8UXmY"
afrooomedia,276404828,"Coronavirus deaths reported:

China: 3,270 (in 10 weeks)

Italy: 6,077 (in 4 weeks)"
Manjuala1,1239822490161033216,"RT @NBCNews: Arizona man dies after ingesting chloroquine in an attempt to prevent coronavirus. https://t.co/BG4xyZnKFv  

There are no dru…"
cm_stead,95468325,RT @___calhoun: @ndrew_lawrence I don’t know who needs to hear this but letting coronavirus kill old people is not going to stimulate the e…
ClariceFelicia_,90749025,RT @FilmFatale_NYC: She was only 36 years old.
calikrajnik9,1183996514,"RT @EwdatsGROSS: Simple Plan              Me having an 
                           Internal panic attack…"
ZaidiSiraj,562423143,RT @TheSJTobin: When you’re a goalkeeper... and an only child... in self isolation... and trying to keep up with your training... 😂😂came up…
CLSports,63215197,"RT @tbhorka: Vic Schaefer has turned in his whistle for a fishing rod indefinitely. 

But he’s eagerly anticipating the day he can start to…"
neurojojo,1912979431,"Who will plead guilty after coronavirus deaths are tallied? #NotDying4WallStreet #COVID19 

https://t.co/DrqDFQtJA1"
terryb600,3317726955,"RT @gtconway3d: Terrific story!  Everyone should read it! Thanks for pointing it out, @realDonaldTrump!

https://t.co/mXfLgUdLCh"
laurelevans02,881121067,"RT @ProudResister: This is devastating and heartbreaking...

They are removing respirators from patients over 65 in Spain and giving them t…"
SweetTiffRN,4166570419,"RT @kerrywashington: #COVID19 is affecting all of us, but especially women of color. More than 50% of Latinas &amp; 33% of Black women do not h…"
Wendys_Garden,134041626,RT @ToriMasonTV: Louisiana now has the fastest growth rate of the coronavirus in any state or country in the world.
sarahjkw,32384082,"RT @AynRandPaulRyan: Turns out Trump's ""15 days to slow the spread"" order was about 2 days too short.

The CDC has found that #COVID19 surv…"
FranLa9,1098723503375736832,RT @saanichnews: Langford COVID-19 response team receives more than 500 calls in first two days https://t.co/rpxNaEsPD7
Bohomaniac,3233237054,They just want to sh*t all over the American people! Democrats Push ‘Foreign Graduates First‘ Clause in Coronavirus… https://t.co/MmafvjOXJS
Kanard__,391661291,Just googled Coronavirus disease so I could learn how to spell it once and for all 2 O cOrOna
krishchopra41,1434659006,"RT @PaulineHansonOz: STATEMENT | China must be held accountable for the coronavirus pandemic.

China must be called out and any attempts to…"
miguel_ramoss24,1160065713412775936,RT @isxbelleperez: our future kids cannot mention the word bored without setting off a coronavirus rant
anishamidish,3482231235,"RT @PeteButtigieg: These massive investments (not sacrificing the elderly) are how to avoid a depression, and are needed anyway. I’ve been…"
HabBradley,2178508505,RT @LarryMadowo: New York is the epicentre of the #coronavirus pandemic in America. So this couple got married on the streets with a friend…
ninaahasann__,775808767980023808,"RT @AtukNature: Sure, but give back what you take from them."
msnanners_smith,797101776881258496,"RT @SteveGuest: Watch @TuckerCarlson absolutely shred Nancy Pelosi's coronavirus response bill.

""House Democrats have crammed it with tota…"
irfunni,1043389033810817024,RT @TheSJTobin: When you’re a goalkeeper... and an only child... in self isolation... and trying to keep up with your training... 😂😂came up…
